00NAMA,Aberffraw
00NAMB,Porth Amlwch
00NAMC,Amlwch Wledig
00NAMD,Biwmares
00NAME,Botffordd
00NAMF,Bodorgan
00NAMG,Braint
00NAMH,Bryngwran
00NAMJ,Brynteg
00NAMK,Cadnant
00NAML,Cefni
00NAMM,Cwm Cadnant
00NAMN,Cyngar
00NAMP,Gwyngyll
00NAMQ,Tref Caergybi
00NAMR,Kingsland
00NAMS,Llanbadrig
00NAMT,Llanbedr-goch
00NAMU,Llanddyfnan
00NAMW,Llaneilian
00NAMX,Llanfaethlu
00NAMY,Llanfair-yn-Neubwll
00NAMZ,Llanfihangel Ysgeifiog
00NANA,Llangoed
00NANB,Llanidan
00NANC,Llannerch-y-medd
00NAND,London Road
00NANE,Maeshyfryd
00NANF,Mechell
00NANG,Moelfre
00NANH,Morawelon
00NANJ,Parc a'r Mynydd
00NANK,Pentraeth
00NANL,Porthyfelin
00NANM,Rhosneigr
00NANN,Rhosyr
00NANP,Trearddur
00NANQ,Tudur
00NANR,Tysilio
00NANS,Fali
00NCQA,Aberdaron
00NCQB,Aberdyfi
00NCQC,Abererch
00NCQD,Abermaw
00NCQE,Aber-soch
00NCQF,Arllechwedd
00NCQG,Y Bala
00NCQH,Bethel
00NCQJ,Bontnewydd
00NCQK,Botwnnog
00NCQL,Bowydd a Rhiw
00NCQM,Brithdir a Llanfachreth/Ganllwyd/Llanelltyd
00NCQN,Bryn-crug/Llanfihangel
00NCQP,Cadnant
00NCQQ,Clynnog
00NCQR,Corris/Mawddwy
00NCQS,Cricieth
00NCQT,Cwm-y-Glo
00NCQU,Deiniol
00NCQW,Deiniolen
00NCQX,Dewi
00NCQY,Diffwys a Maenofferen
00NCQZ,Dolbenmaen
00NCRA,Dolgellau - Gogledd
00NCRB,Dolgellau - De
00NCRC,Dyffryn Ardudwy
00NCRD,Efail-Newydd/Buan
00NCRE,Garth
00NCRF,Gerlan
00NCRG,Glyder
00NCRH,Y Groeslon
00NCRJ,Harlech
00NCRK,Hendre
00NCRL,Hirael
00NCRM,Llanaelhaearn
00NCRN,Llanbedr
